[2023-03-20 19:18:06:1366][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-03-20 19:18:06:1370][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-03-20 19:18:07:1607][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2023-03-20 19:18:07:1763][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
[2023-03-20 19:18:07:1786][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4172c967, org.springframework.security.web.context.SecurityContextPersistenceFilter@17a5ae7b, org.springframework.security.web.header.HeaderWriterFilter@74a991cf, org.springframework.security.web.authentication.logout.LogoutFilter@47e70f54, com.example.stockdividend.security.JwtAuthenticationFilter@14624acc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@183a84f4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3bf52f8f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@71ac5723, org.springframework.security.web.session.SessionManagementFilter@92de794, org.springframework.security.web.access.ExceptionTranslationFilter@37f7ce20, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@294bb6ae]
[2023-03-20 19:18:07:2070][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2023-03-20 19:18:07:2079][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2023-03-20 19:18:07:2087][main] INFO  c.e.s.StockdividendApplication - Started StockdividendApplication in 2.014 seconds (JVM running for 2.303)
[2023-03-20 19:18:21:16272][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-03-20 19:18:21:16276][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2023-03-20 19:18:21:16279][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2023-03-20 19:18:23:274][main] INFO  c.e.s.StockdividendApplication - Starting StockdividendApplication using Java 11.0.18 on bagbongchan-ui-MacBookPro.local with PID 72791 (/Users/maccutter/Stockdividend/build/classes/java/main started by maccutter in /Users/maccutter/Stockdividend)
[2023-03-20 19:18:23:274][main] INFO  c.e.s.StockdividendApplication - No active profile set, falling back to default profiles: default
[2023-03-20 19:18:23:595][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2023-03-20 19:18:23:595][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-03-20 19:18:23:637][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 39 ms. Found 3 JPA repository interfaces.
[2023-03-20 19:18:23:644][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2023-03-20 19:18:23:644][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2023-03-20 19:18:23:651][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.stockdividend.persist.CompanyRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[2023-03-20 19:18:23:652][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.stockdividend.persist.DividendRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[2023-03-20 19:18:23:652][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.stockdividend.persist.MemberRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[2023-03-20 19:18:23:652][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
[2023-03-20 19:18:23:779][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@751ae8a4' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2023-03-20 19:18:23:780][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2023-03-20 19:18:24:901][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2023-03-20 19:18:24:904][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2023-03-20 19:18:24:905][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2023-03-20 19:18:24:905][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
[2023-03-20 19:18:24:936][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
